RESPID,L,Q26,Q27,Q35A,Q33,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q3,Q4,Q4_98_OTHER,Q4_98_OTHER_CODED,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q7_2,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q10_98,Q10_98_OTHER,Q10_98_OTHER_CODED,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_15,Q12_1,Q12_2,Q12_3,Q13_1,Q13_CODED,Q13DK_97,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q21_98_OTHER,Q21_98_OTHER_CODED,Q42,Q22_1,Q22_CODED,Q22DK_97,Q23_1,Q23_CODED,Q23DK_97,Q24,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q28,Q29_1,Q29_2,Q29_98,Q30,Q31,Q32,Q35_35,Q35_36,Q35_37,Q35_38,Q35_39,OQ40,OQ41
4839,English,Female,19-24,Prince Edward Island,1,0,1,0,0,0,I am the person who is most responsible for both,To a great extent 7,To a great extent 7,6,To a great extent 7,To a great extent 7,To a great extent 7,6,Sometimes,,,,Somewhat important,0,0,0,0,1,Neither Confident Nor Unsure,Confident,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Somewhat easy to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Neither easy nor difficult to understand,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,% Daily Value,,,,% Daily Value,,,,,,,,,False,True,True,,,1,I don’t know,I don’t know,I don’t know,Very easy,I don’t know,I don’t know,I don’t know,Don’t know/Made an educated guess,,,,,,1,,,1,Fairly useful,Very useful,Very useful,Very useful,Fairly useful,Fairly useful,Very useful,Graduated high school,1,0,0,"Working part-time, that is, less than 35 hours per week","Under $20,000",No,,,,,,,
5775,English,Male,40-44,British Columbia,3,0,0,1,0,0,I am the person who is most responsible for grocery shopping,5,5,5,5,5,5,5,Often,,,,Somewhat important,1,0,0,0,0,Confident,Confident,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Somewhat easy to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat easy to understand,Neither easy nor difficult to understand,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,False,False,False,,,1,I don’t know,I don’t know,4%,Very difficult,I don’t know,I don’t know,I don’t know,Don’t know/Made an educated guess,,,,,,1,,,1,Very useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Some high school,1,0,0,"Working full-time, that is, 35 or more hours per week","$40,000 to just under $ 60,000",No,,,,,,,
6351,English,Female,30-34,Alberta,3,0,1,1,1,0,I am the person who is most responsible for meal preparation,To some extent 4,3,To some extent 4,To some extent 4,5,3,To some extent 4,Sometimes,,,,Neither important nor unimportant,1,0,0,1,0,Neither Confident Nor Unsure,Neither Confident Nor Unsure,Sometimes,Rarely,Often,Sometimes,Sometimes,Sometimes,Often,Neither easy nor difficult to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat difficult to understand,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,I don’t know,I don’t know,I don’t know,,,1,I don’t know,I don’t know,I don’t know,Neither difficult nor easy,I don’t know,I don’t know,Product B,% Daily Value of sodium,,,,,,1,,,1,Fairly useful,Not very useful,Fairly useful,Not very useful,Fairly useful,Not very useful,Not very useful,Some high school,1,0,0,"Not in the workforce (e.g. full-time homemaker, not employed","$60,000 to just under $ 80,000",No,,,,,,,
6846,English,Female,30-34,British Columbia,2,0,1,1,0,0,I am the person who is most responsible for both,3,To some extent 4,To some extent 4,Not at all 1,To some extent 4,To some extent 4,To some extent 4,Rarely,It’s too confusing/too difficult to understand,,,Very important,0,0,0,1,0,Neither Confident Nor Unsure,Neither Confident Nor Unsure,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Very difficult to understand,Very difficult to understand,Very difficult to understand,Very difficult to understand,Very difficult to understand,Very difficult to understand,Very difficult to understand,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,True,True,True,,,1,The amount of food contains 28% of the maximum amount of fib,28% Daily Value is a moderate amount of fibre,I don’t know,Very difficult,Product B has a higher fat content,There is a little of fibre in both products,I don’t know,Both the actual amount of sodium in mg and the % Daily Value,,,,,,1,,,1,Not very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Not very useful,"Graduated vocational, technical, college or CEGEP",1,0,0,"Working full-time, that is, 35 or more hours per week","$20,000 to just under $ 40,000",No,,,,,,,
1926,English,Male,40-44,Ontario,1,0,0,0,0,1,I am the person who is most responsible for grocery shopping,To a great extent 7,To a great extent 7,To a great extent 7,To some extent 4,To a great extent 7,6,To a great extent 7,Often,,,,Somewhat important,1,0,0,0,0,Confident,Confident,Often,Often,Often,Often,Often,Often,Often,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,Both,,,,,,,True,True,True,120,Other,0,The amount of food contains 28% of the maximum amount of fib,28% Daily Value is a little of fibre,8%,Difficult,Product B has a higher fat content,There is a lot of fibre in both products,Product B,Actual amount of sodium in milligrams (mg),,,,,,1,,,1,Fairly useful,Very useful,Very useful,Fairly useful,Very useful,Very useful,Not at all useful,Graduated university,1,0,0,"Working full-time, that is, 35 or more hours per week","$20,000 to just under $ 40,000",No,,,,,,,
7991,English,Male,40-44,British Columbia,3,0,1,1,0,0,I am the person who is most responsible for grocery shopping,5,To some extent 4,6,3,To some extent 4,6,3,Sometimes,,,,Somewhat important,0,0,1,1,0,Neither Confident Nor Unsure,Neither Confident Nor Unsure,Sometimes,Never,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,% Daily Value,,,,% Daily Value,,,,,,,,,False,True,True,28,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Neither difficult nor easy,I don’t know,I don’t know,I don’t know,Don’t know/Made an educated guess,,,,,,1,,,1,Not very useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Not at all useful,Graduated university,1,0,0,"Unemployed, but looking for work","$100,000 to just under $150,000",No,,,,,,,
3348,English,Female,30-34,Ontario,2,0,1,1,0,0,I am the person who is most responsible for both,To a great extent 7,To a great extent 7,To a great extent 7,To a great extent 7,To a great extent 7,To a great extent 7,To a great extent 7,Sometimes,,,,Neither important nor unimportant,0,1,1,0,1,Neither Confident Nor Unsure,Neither Confident Nor Unsure,Always,Never,Never,Always,Sometimes,Always,Always,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,,,,,Both,,,,,Both,Both,,,,,,,I don’t know,True,I don’t know,28g,1/2 Cup/28 grams,0,This food product is made up of 28% fibre,28% Daily Value is a moderate amount of fibre,8%,Very difficult,Product B has a higher fat content,Product A has a lot of fibre/Product B has a little of fibre,Product A,Both the actual amount of sodium in mg and the % Daily Value,,,,,,1,1,Other,0,Not very useful,Very useful,Very useful,Very useful,Very useful,Very useful,Not at all useful,"Graduated vocational, technical, college or CEGEP",0,0,1,"Working part-time, that is, less than 35 hours per week","$20,000 to just under $ 40,000",No,,,,,,,
3359,English,Male,35-39,Ontario,1,0,0,1,0,0,I am the person who is most responsible for grocery shopping,6,5,6,5,5,5,5,Always,,,,Very important,0,1,0,1,1,Neither Confident Nor Unsure,Neither Confident Nor Unsure,Often,Sometimes,Sometimes,Often,Often,Sometimes,Often,Neither easy nor difficult to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat easy to understand,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,,,,Both,,,,,,Both,,,,,,,True,True,True,,,1,The amount of food contains 28% of the maximum amount of fib,28% Daily Value is a little of fibre,8%,Neither difficult nor easy,Product A has a higher fat content,Product A has a little of fibre/Product B has a lot of fibre,Product A,Both the actual amount of sodium in mg and the % Daily Value,,,,,,1,2,Two servings,0,Fairly useful,Very useful,Very useful,Fairly useful,Fairly useful,Fairly useful,Not very useful,Graduated university,0,0,1,"Working full-time, that is, 35 or more hours per week","$60,000 to just under $ 80,000",No,,,,,,,
1262,English,Female,45-49,Ontario,1,0,0,0,0,1,I am the person who is most responsible for grocery shopping,To some extent 4,5,6,5,To some extent 4,To a great extent 7,To some extent 4,Often,,,,Very important,1,1,1,1,0,Very Confident,Very Confident,Often,Rarely,Often,Always,Sometimes,Often,Often,Very easy to understand,Very easy to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,Weight (grams or milligrams),,,,% Daily Value,,Weight (grams or milligrams),,,,,,,False,True,True,1/2 cup,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a lot of fibre,8%,Very easy,Product A has a higher fat content,Product A has a lot of fibre/Product B has a little of fibre,Product A,Actual amount of sodium in milligrams (mg),,,,,,1,2,Two servings,0,Very useful,Not very useful,Not very useful,Not very useful,Very useful,Very useful,Fairly useful,"Graduated vocational, technical, college or CEGEP",1,0,0,"Working full-time, that is, 35 or more hours per week","$100,000 to just under $150,000",Yes,,,,,,,
1582,English,Male,30-34,Ontario,1,0,1,0,0,0,I am the person who is most responsible for grocery shopping,To a great extent 7,6,6,5,5,5,To some extent 4,Often,,,,Somewhat important,0,1,1,1,1,Confident,Neither Confident Nor Unsure,Often,Sometimes,Sometimes,Often,Rarely,Often,Often,Neither easy nor difficult to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat easy to understand,Neither easy nor difficult to understand,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Weight (grams or milligrams),,,,,,,,,,,,,True,False,False,28,1/2 Cup/28 grams,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Difficult,Product A has a higher fat content,Product A has a little of fibre/Product B has a lot of fibre,I don’t know,Don’t know/Made an educated guess,,,,,,1,2,Two servings,0,Fairly useful,Not very useful,Fairly useful,Fairly useful,Not very useful,Fairly useful,Fairly useful,Post graduate university,1,0,0,"Working full-time, that is, 35 or more hours per week","$40,000 to just under $ 60,000",Yes,,,,,,,
3928,English,Female,55-59,Ontario,1,0,0,0,0,1,I am the person who is most responsible for grocery shopping,To a great extent 7,To a great extent 7,6,Not at all 1,5,To a great extent 7,6,Often,,,,Somewhat important,0,1,0,0,0,Neither Confident Nor Unsure,Neither Confident Nor Unsure,Often,Often,Rarely,Sometimes,Sometimes,Often,Never,Somewhat difficult to understand,Somewhat difficult to understand,Somewhat easy to understand,Somewhat difficult to understand,Somewhat difficult to understand,Somewhat difficult to understand,Somewhat easy to understand,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Both,,,,,,,,,,,,,I don’t know,True,True,28 g,1/2 Cup/28 grams,0,I don’t know,28% Daily Value is a little of fibre,I don’t know,Difficult,Products A and B have the same fat content,Product A has a moderate amount of fibre/Product B has a lit,Product A,Don’t know/Made an educated guess,,,,,,1,2,Two servings,0,Very useful,Fairly useful,Fairly useful,Fairly useful,Very useful,Very useful,Not at all useful,Graduated university,1,0,0,"Working full-time, that is, 35 or more hours per week","$100,000 to just under $150,000",No,,,,,,,
1728,English,Male,30-34,Ontario,1,0,0,1,0,0,I am the person who is most responsible for grocery shopping,To some extent 4,5,5,5,5,6,5,Often,,,,Somewhat important,0,1,0,0,0,Confident,Confident,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Neither easy nor difficult to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,True,True,True,,,1,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Easy,Products A and B have the same fat content,Product A has a little of fibre/Product B has a lot of fibre,Product B,Both the actual amount of sodium in mg and the % Daily Value,,,,,,1,3,Other,0,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Fairly useful,Graduated university,1,0,0,"Working full-time, that is, 35 or more hours per week","$150,000 and above",No,,,,,,,
1255,English,Female,30-34,Ontario,1,0,0,0,1,0,I am the person who is most responsible for grocery shopping,5,To a great extent 7,6,To a great extent 7,To a great extent 7,To a great extent 7,6,Often,,,,Very important,1,1,1,1,1,Confident,Very Confident,Often,Always,Often,Often,Always,Always,Always,Somewhat easy to understand,Very easy to understand,Very easy to understand,Somewhat easy to understand,Somewhat easy to understand,Very easy to understand,Very easy to understand,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,,,,,% Daily Value,,,,Weight (grams or milligrams),,% Daily Value,,,,,,,True,True,True,3,Other,0,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Easy,Product B has a higher fat content,There is a little of fibre in both products,Product A,Actual amount of sodium in milligrams (mg),,,,,,1,3,Other,0,Very useful,Fairly useful,Very useful,Very useful,Very useful,Fairly useful,Fairly useful,Some university,1,0,0,"Working full-time, that is, 35 or more hours per week","$80,000 to just under $100,000",Yes,,,,,,,
8444,French (Canada),Male,19-24,Quebec,1,0,0,0,0,1,I am the person who is most responsible for grocery shopping,3,To some extent 4,To some extent 4,3,To some extent 4,3,To some extent 4,Often,,,,Somewhat important,0,1,0,0,0,Unsure,Neither Confident Nor Unsure,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Somewhat difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Neither easy nor difficult to understand,Somewhat difficult to understand,Neither easy nor difficult to understand,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,% Daily Value,,,,,,,,False,False,False,,,1,I don’t know,28% Daily Value is a moderate amount of fibre,8%,Difficult,I don’t know,Product A has a little of fibre/Product B has a lot of fibre,Product B,Both the actual amount of sodium in mg and the % Daily Value,,,,,,1,4,Other,0,Not very useful,Not very useful,Not very useful,Not very useful,Fairly useful,Not very useful,Fairly useful,"Graduated vocational, technical, college or CEGEP",0,1,0,"Unemployed, but looking for work","$80,000 to just under $100,000",Don't Know,,,,,,,
1927,English,Male,30-34,Ontario,1,0,0,1,0,0,I am the person who is most responsible for grocery shopping,6,6,6,To a great extent 7,6,To a great extent 7,To a great extent 7,Always,,,,Very important,1,1,1,0,0,Confident,Very Confident,Always,Often,Often,Often,Always,Often,Always,Somewhat easy to understand,Somewhat easy to understand,Somewhat easy to understand,Very easy to understand,Somewhat easy to understand,Very easy to understand,Very easy to understand,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Weight (grams or milligrams),,,,,,,,,,,,,True,True,True,,,1,The amount of food contains 28% of the daily recommended amo,28% Daily Value is a moderate amount of fibre,8%,Neither difficult nor easy,Product B has a higher fat content,There is a little of fibre in both products,Product A,% Daily Value of sodium,,,,,,1,6,Other,0,Very useful,Very useful,Fairly useful,Very useful,Very useful,Very useful,Fairly useful,Graduated university,1,0,0,"Working full-time, that is, 35 or more hours per week","$80,000 to just under $100,000",Yes,,,,,,,
954,English,Male,30-34,Ontario,2,0,0,1,1,0,I am the person who is most responsible for grocery shopping,6,6,To a great extent 7,5,5,To a great extent 7,6,Always,,,,Somewhat important,0,1,1,0,1,Very Confident,Confident,Always,Often,Always,Often,Often,Sometimes,Often,Very easy to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat easy to understand,Neither easy nor difficult to understand,Somewhat easy to understand,Somewhat difficult to understand,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,,,,,Both,,,,,Both,Both,,,,,,,I don’t know,True,False,,,1,This food product is made up of 28% fibre,28% Daily Value is a lot of fibre,I don’t know,Easy,I don’t know,Product A has a little of fibre/Product B has a lot of fibre,Product A,Both the actual amount of sodium in mg and the % Daily Value,,,,,,1,8,Other,0,Very useful,Not very useful,Fairly useful,Very useful,Very useful,Fairly useful,Fairly useful,Some university,1,0,0,"Working full-time, that is, 35 or more hours per week","$40,000 to just under $ 60,000",Yes,,,,,,,
